userId,username,firstName,lastName,email,telephone,role,company,accountCreationDate,lastLoginDate,isActive,timezone,orgId
cd84189c,alice.johnson0,Alice,Johnson,alice.johnson0@example.com,+1-555-2947,admin,Initech,2022-01-10T12:05:04.412867,2020-11-13T10:14:28.070384,False,America/New_York,9aa73eb5
567ddd92,eve.williams1,Eve,Williams,eve.williams1@example.com,+1-555-9441,admin,Initech,2020-12-17T16:12:47.856238,2020-11-23T00:23:47.280916,True,America/New_York,9aa73eb5
51c748d4,eve.johnson2,Eve,Johnson,eve.johnson2@example.com,+1-555-7266,user,Globex,2023-07-21T03:47:13.103747,2020-12-28T03:17:11.010268,True,UTC,6cb534ce
998c79a1,charlie.jones3,Charlie,Jones,charlie.jones3@example.com,+1-555-9796,agent,Globex,2024-10-03T19:08:59.530921,2025-02-04T07:37:11.744710,True,America/New_York,6cb534ce
aa47537d,charlie.smith4,Charlie,Smith,charlie.smith4@example.com,+1-555-3714,agent,Acme Corp,2020-12-07T07:40:11.494231,2020-02-12T04:14:09.061618,False,UTC,18d60335
ad067c10,bob.jones5,Bob,Jones,bob.jones5@example.com,+1-555-4452,agent,Globex,2021-07-11T15:37:05.415326,2020-09-10T16:52:52.354053,True,America/New_York,6cb534ce
06ff7a2b,diana.williams6,Diana,Williams,diana.williams6@example.com,+1-555-4869,agent,Initech,2023-12-15T05:57:37.961601,2023-01-19T15:23:04.776365,True,Europe/Paris,9aa73eb5
4c64fcd7,eve.williams7,Eve,Williams,eve.williams7@example.com,+1-555-2704,user,Initech,2022-01-01T23:22:10.442984,2023-07-20T10:44:47.661706,True,America/New_York,9aa73eb5
3104e9c7,bob.johnson8,Bob,Johnson,bob.johnson8@example.com,+1-555-3694,admin,Initech,2020-05-01T12:13:52.073018,2023-05-21T18:19:19.020471,False,Europe/Paris,9aa73eb5
ba11a7fe,eve.williams9,Eve,Williams,eve.williams9@example.com,+1-555-8068,admin,Acme Corp,2023-05-08T23:51:19.195076,2020-12-31T10:48:59.914946,True,Europe/Paris,18d60335
